qmd	block_id	line	kind	section	words	disposition	target_slot	label	text
_microglia.qmd	microglia-007-caption-binned-umap-score-maps-for-the-three-plotted	219	caption	Substate landscape	33	caption	fig-microglia-score-triptych	fig-microglia-score-triptych	Binned UMAP score maps for the three plotted signatures. Homeostatic and DAM scores form opposing regions of the activation manifold, while the MHC-APC score marks the antigen-presentation arm within the broader DAM programme.
_microglia.qmd	microglia-008-h2-amyloid-expands-the-dam-compartment	230	h2	Amyloid expands the DAM compartment	5	keep	section-nav		Amyloid expands the DAM compartment
_microglia.qmd	microglia-009-paragraph-the-compositional-shift-is-unambiguous-without-amyloid-the	232	paragraph	Amyloid expands the DAM compartment	78	figure	fig-microglia-composition-shift;fig-microglia-unit-composition		The compositional shift is unambiguous. Without amyloid the microglia are overwhelmingly homeostatic (DAM  % in MAPTKI,  % in P301S); with amyloid the DAM compartment swells to  % on the tau-knockout background and  % on the mutant-tau background, with the homeostatic fraction falling in step ( % and  % down to  % and  %). The same shift is visible per nucleus as a rightward move in the DAM activation score, and it is steeper on the mutant-tau background, the first hint of the tau-by-amyloid interaction tested below.
_microglia.qmd	microglia-010-caption-amyloid-drives-the-homeostatic-to-dam-shift-left-substate	245	caption	Amyloid expands the DAM compartment	28	caption	fig-microglia-composition-shift	fig-microglia-composition-shift	Amyloid drives the homeostatic-to-DAM shift. Left: substate proportions per genotype (cluster-level labels). Right: per-nucleus DAM activation score by genotype; the amyloid-bearing genotypes carry the heavier upper tail.
_microglia.qmd	microglia-011-caption-composition-by-the-16-genotype-by-batch-replicate-units	279	caption	Amyloid expands the DAM compartment	40	caption	fig-microglia-unit-composition	fig-microglia-unit-composition	Composition by the 16 genotype-by-batch replicate units. Each bar is one replicate unit, preserving the inference unit behind the composition and pseudobulk tests. The DAM expansion is visible in every amyloid-bearing background rather than being driven by one batch.
_microglia.qmd	microglia-012-caption-score-distributions-by-genotype-within-each-primary-substate	294	caption	Amyloid expands the DAM compartment	34	caption	fig-microglia-score-distribution	fig-microglia-score-distribution	Score distributions by genotype within each primary substate. Amyloid shifts the DAM score upward and the homeostatic score downward while retaining overlap, consistent with a scored activation programme rather than a binary marker threshold.
_microglia.qmd	microglia-013-h2-composition-is-tested-across-the-genotype-contrasts	304	h2	Composition is tested across the genotype contrasts	7	keep	section-nav		Composition is tested across the genotype contrasts
_microglia.qmd	microglia-014-paragraph-composition-is-tested-formally-with-propeller-the-locked	306	paragraph	Composition is tested across the genotype contrasts	127	figure	fig-microglia-composition-forest;fig-microglia-composition-concordance		Composition is tested formally with propeller (the locked, reproducible primary, on the logit transform) and cross-checked with sccomp, a Bayesian beta-binomial model run off-lock when its Stan backend is present. Both amyloid contrasts move DAM strongly up and the homeostatic fraction strongly down, with very small tail probabilities (table below). The tau-by-amyloid interaction on DAM is positive and significant under propeller (FDR  );  , so it is flagged rather than asserted. A static compositional interaction of this size raises a further question - does mutant tau also push microglia further along the same activation programme, or does it simply enlarge the DAM endpoint? The trajectory chapter ( ) takes that up directly and finds the latter: the synergy is carried by compartment size, not by cells advancing further along the axis.
_microglia.qmd	microglia-015-caption-substate-composition-effects-for-dam-and-homeostatic-microglia	322	caption	Composition is tested across the genotype contrasts	49	caption	fig-microglia-composition-forest	fig-microglia-composition-forest	Substate composition effects for DAM and homeostatic microglia across the five contrasts (sccomp posterior on the logit proportion with 95% credible intervals where the Bayesian arm ran, otherwise the propeller t-statistic). DAM and homeostatic move as mirror images; both amyloid contrasts are far from zero, the interaction is small.
_microglia.qmd	microglia-016-paragraph-cross-method-concordance-flags-of-contrast-by-substate-cells-per	369	paragraph	Composition is tested across the genotype contrasts	22	figure	fig-microglia-composition-forest;fig-microglia-composition-concordance		Cross-method concordance flags   of   contrast-by-substate cells ( ) .  Per the pre-declared rule the propeller-logit call stands; the disagreements are reported, never averaged away.
_microglia.qmd	microglia-017-caption-composition-method-concordance-grid-colour-shows-the-locked	378	caption	Composition is tested across the genotype contrasts	37	caption	fig-microglia-composition-concordance	fig-microglia-composition-concordance	Composition method concordance grid. Colour shows the locked propeller-logit direction and significance; text marks cells pre-declared as cross-method flags. The DAM interaction is a primary positive composition call, while sparse IFN cells carry the main method flags.
_microglia.qmd	microglia-018-h2-the-amyloid-to-dam-expression-programme	392	h2	The amyloid-to-DAM expression programme	5	keep	section-nav		The amyloid-to-DAM expression programme
_microglia.qmd	microglia-019-paragraph-pseudobulk-differential-expression-limma-voom-with-quality-weights-aggregated	394	paragraph	The amyloid-to-DAM expression programme	79	figure	fig-microglia-whole-volcano		Pseudobulk differential expression (limma-voom with quality weights, aggregated to the 16 genotype-by-batch replicate units) confirms the activation programme at the transcript level. Of   expressed genes,   pass the stageR family screen. The canonical DAM markers move up coherently under amyloid: of the   markers in the fit,  % rise on the tau-knockout background (mean log2 fold-change  ) and  % on the mutant-tau background (mean  ), reproducing the original study's direction. The volcano below shows the strongest amyloid contrast with the DAM markers picked out.
_microglia.qmd	microglia-020-caption-pseudobulk-differential-expression-for-amyloid-on-the-mutant-tau	410	caption	The amyloid-to-DAM expression programme	36	caption	fig-microglia-amyloid-volcano	fig-microglia-amyloid-volcano	Pseudobulk differential expression for amyloid on the mutant-tau background (NLGF_P301S vs P301S). Canonical DAM markers (crimson) are concentrated among the up-regulated, significant genes; the most significant are labelled. Dashed lines mark the log2 fold-change threshold.
_microglia.qmd	microglia-021-caption-whole-microglia-pseudobulk-volcanoes-across-the-five-genotype-contrasts	450	caption	The amyloid-to-DAM expression programme	44	caption	fig-microglia-whole-volcano	fig-microglia-whole-volcano	Whole-microglia pseudobulk volcanoes across the five genotype contrasts. Points are pre-binned for compact rendering; labelled genes are the strongest rows per contrast. Amyloid contrasts carry thousands of FDR < 0.10 rows, whereas the interaction has real stageR-confirmed genes but no standalone large-effect FDR hits.
_microglia.qmd	microglia-022-h2-the-tau-by-amyloid-interaction-is-under-powered-not-absent	471	h2	The tau-by-amyloid interaction is under-powered, not absent	8	keep	section-nav		The tau-by-amyloid interaction is under-powered, not absent
_microglia.qmd	microglia-023-paragraph-no-gene-clears-the-large-effect-bar-on-the	473	paragraph	The tau-by-amyloid interaction is under-powered, not absent	15	figure	fig-microglia-whole-volcano		No gene clears the large-effect bar on the interaction contrast (0 up, 0 down at
_microglia.qmd	microglia-024-table_row-log2fc-fdr-yet-the-stager-family-screen-still	474	table_row	The tau-by-amyloid interaction is under-powered, not absent	9	figure	fig-microglia-whole-volcano		|log2FC| >  , FDR <  ), yet the stageR family screen still confirms
_microglia.qmd	microglia-025-paragraph-interaction-genes-every-one-with-a-substantial-fold-change	475	paragraph	The tau-by-amyloid interaction is under-powered, not absent	193	figure	fig-microglia-whole-volcano		interaction genes - every one with a substantial fold-change (all above the   log2 effect bar, median  ) that the stricter standalone per-contrast test cannot individually resolve (its most significant gene sits at FDR  ), so this is not an empty result. The difference-of-differences carries roughly twice the standard error of a main effect, and the pseudobulk design leaves few replicate degrees of freedom - eBayes moderation lifts the effective total to  : the minimum log2 fold-change detectable at a nominal 80% per-test power for the median gene is   (median posterior SE  ). The honest reading is therefore that a per-gene interaction below about   log2 units falls under this design's nominal detection floor - and the multiple-testing-corrected discovery floor is higher still - so absence of large-effect genes is not evidence of no interaction. Crucially, the compositional interaction on DAM *is* significant, which points to a synergy expressed through compartment size rather than per-gene fold-change. The trajectory chapter ( ) then separates the two ways that synergy could act - more DAM cells, or cells advancing further along the activation axis - and resolves it as the former: the tau-amyloid interaction adds DAM cells, with no statistically supported signal that it advances them further.
_microglia.qmd	microglia-026-h2-per-substate-differential-expression	492	h2	Per-substate differential expression	3	keep	section-nav		Per-substate differential expression
_microglia.qmd	microglia-027-paragraph-repeating-the-pseudobulk-fit-within-each-substate-is	494	paragraph	Per-substate differential expression	86	figure	fig-microglia-substate-audit;fig-microglia-substate-volcano		Repeating the pseudobulk fit within each substate is only valid where every replicate unit carries enough cells. Under a floor of   cells per unit, the substates that clear it on every unit ( ) are fitted; IFN (as few as   cells in a unit) and the empty proliferative level are left descriptive-only. Within the DAM compartment alone, amyloid still moves   genes past the large-effect bar (NLGF_P301S vs P301S), confirming the programme is graded - a shift in what DAM cells express, not merely how many cells are DAM.
_microglia.qmd	microglia-028-caption-per-substate-de-fit-audit-bars-show-the-minimum	523	caption	Per-substate differential expression	35	caption	fig-microglia-substate-audit	fig-microglia-substate-audit	Per-substate DE fit audit. Bars show the minimum cells in any replicate unit, with the dashed line marking the pre-set floor for fitting. Homeostatic and DAM pass; IFN and the empty proliferative level remain descriptive.
_microglia.qmd	microglia-029-caption-within-substate-de-summary-for-the-fitted-homeostatic-and	538	caption	Per-substate differential expression	41	caption	fig-microglia-substate-volcano	fig-microglia-substate-volcano	Within-substate DE summary for the fitted homeostatic and DAM compartments. Bars are signed counts of FDR < 0.10 rows (up positive, down negative) for each contrast. Amyloid effects persist within states; the interaction remains much smaller than the amyloid main responses.
_microglia.qmd	microglia-030-h2-caveats-and-provenance	550	h2	Caveats and provenance	3	keep	section-nav		Caveats and provenance
_microglia.qmd	microglia-031-paragraph-three-caveats-travel-with-these-results-first-the	552	paragraph	Caveats and provenance	122	collapsed_audit	collapsed-microglia-audit		Three caveats travel with these results. First, the Thrupp under-detection already noted: DAM is scored, not thresholded, and the differential tests run on raw counts, so the attenuation biases against the DAM signal rather than inventing it. Second, contaminant pruning removed proportionally more low-quality nuclei from the   background (about  % of it, mostly cluster  ) than from the others. Because every dropped cluster scores low on DAM - the highest dropped-cluster median ( ) falls well short of the DAM-enriched clusters that drive the headline (medians up to  , all retained) - the pruning cannot have manufactured the amyloid-to-DAM signal by discarding DAM-high nuclei. Removing low-DAM nuclei can only nudge a genotype's DAM fraction upward, so this genotype-skewed dropout is reported in full below rather than hidden. Third,
_trajectory.qmd	trajectory-001-h1-the-tau-amyloid-synergy-adds-dam-cells-rather-than	1	h1	The tau-amyloid synergy adds DAM cells rather than advancing them	10	keep	section-nav		The tau-amyloid synergy adds DAM cells rather than advancing them
_trajectory.qmd	trajectory-002-paragraph-the-microglia-chapter-left-one-question-open-amyloid	3	paragraph	The tau-amyloid synergy adds DAM cells rather than advancing them	170	schematic	fig-trajectory-logic-board		"The microglia chapter left one question open. Amyloid drives the homeostatic-to-DAM shift, and the compositional interaction on DAM is significant: on a mutant-tau background amyloid produces *more* DAM cells than additivity predicts. But a larger DAM compartment and cells that have travelled *further* into activation are two different claims, and the pseudobulk interaction was under-powered to separate them. This chapter orders the same nuclei along an activation pseudotime and asks the distinct question the composition test cannot: beyond making more DAM cells, does mutant tau push microglia further along the activation axis? Read three ways below, it does not detectably - no channel gives statistically supported evidence of further advance, and the tau-amyloid synergy is expressed almost entirely as compartment size rather than as cells sitting further along the axis. Two framings travel with every number here: pseudotime is an activation *ordering* (position and extent of advance), not developmental time or potency, and because the data are a single cross-sectional snapshot, ""advance"" is a position statement, never a measured rate."
_trajectory.qmd	trajectory-003-h2-amyloid-drives-a-large-shift-along-the-activation	118	h2	Amyloid drives a large shift along the activation axis	9	keep	section-nav		Amyloid drives a large shift along the activation axis
_trajectory.qmd	trajectory-004-paragraph-slingshot-orders-the-homeostatic-and-dam-nuclei-along	120	paragraph	Amyloid drives a large shift along the activation axis	130	figure	fig-trajectory-pseudotime-shift;fig-trajectory-pt-density		Slingshot orders the homeostatic and DAM nuclei along a single rooted lineage on the batch-integrated harmony space (the interferon and proliferative nuclei are off this axis and omitted, recovered as a conditioning check below). Rooting is validated after the fact, not assumed: pseudotime rises with the DAM score (Spearman  ) and falls with the homeostatic score ( ), so low pseudotime is the homeostatic end and high pseudotime the DAM end. Against that ordering the amyloid effect is unmistakable and large: it moves mean pseudotime up by   units on the tau-knockout background (NLGF_MAPTKI vs MAPTKI, p  ) and   units on the mutant-tau background (NLGF_P301S vs P301S, p  ). Tau on its own moves it little ( ). These amyloid main effects dwarf everything that follows; the interaction is a second-order adjustment on top of them.
_trajectory.qmd	trajectory-005-caption-amyloid-advances-microglia-along-the-activation-pseudotime-left	137	caption	Amyloid drives a large shift along the activation axis	68	caption	fig-trajectory-pseudotime-shift	fig-trajectory-pseudotime-shift	Amyloid advances microglia along the activation pseudotime. Left: per-nucleus pseudotime distribution by genotype (on-lineage nuclei), with the pooled DAM-onset landmark dashed; the amyloid-bearing genotypes carry far more mass at the DAM end. Right: the interaction in context - the genotype effects on mean pseudotime across the five canonical contrasts (point and 95% CI); the two amyloid contrasts are large, the difference-of-differences interaction (crimson) is a modest positive adjustment.
_trajectory.qmd	trajectory-006-caption-pseudotime-distributions-separated-by-genotype-and-substate-the	167	caption	Amyloid drives a large shift along the activation axis	38	caption	fig-trajectory-pt-density	fig-trajectory-pt-density	Pseudotime distributions separated by genotype and substate. The amyloid-bearing genotypes carry much more DAM-state density at high pseudotime, while the homeostatic density remains concentrated nearer the root. The plot shows position along the activation ordering, not a rate.
_trajectory.qmd	trajectory-007-h2-the-interaction-is-composition-not-progression	178	h2	The interaction is composition, not progression	6	keep	section-nav		The interaction is composition, not progression
_trajectory.qmd	trajectory-008-paragraph-the-difference-of-differences-interaction-raises-mean-pseudotime-position	180	paragraph	The interaction is composition, not progression	124	figure	fig-trajectory-decomposition;fig-trajectory-kitagawa-forest		The difference-of-differences interaction raises mean pseudotime position by   units (95% CI [ ,  ], ordinary p  , Freedman-Lane permutation p  ) - microglia on the amyloid-plus-mutant-tau background sit a little further along the axis than an additive model predicts. The exact three-channel shift-share decomposition (composition, progression, cross) says where that advance comes from, and the two channels point in opposite directions. The composition channel - the same per-state positions, with cells redistributed toward the DAM end - carries the whole effect (interaction  , p  ; loading   of the position interaction). The progression channel - cells of a given state sitting further along, the genuinely abundance-independent quantity - is small, negative and not significant ( , p  , permutation p  ; loading  ), and the cross term is minor (loading  ). The three loadings sum to one by construction (reconstruction residual  ).
_trajectory.qmd	trajectory-009-caption-the-position-interaction-is-compositional-left-the-tau-amyloid	200	caption	The interaction is composition, not progression	73	caption	fig-trajectory-decomposition	fig-trajectory-decomposition	The position interaction is compositional. Left: the tau-amyloid interaction on each additive pseudotime channel (point and 95% CI, all in pseudotime units); the composition channel is positive and clears zero, while the progression and within-state channels do not. Right: the shift-share loadings - composition takes more than the whole position interaction, progression is negative, and they sum to one. Mutant tau enlarges the DAM compartment; it does not measurably advance cells within a state.
_trajectory.qmd	trajectory-010-paragraph-the-pre-registered-primary-endpoints-the-progression-channel-and	228	paragraph	The interaction is composition, not progression	91	figure	fig-trajectory-decomposition;fig-trajectory-kitagawa-forest		The pre-registered primary endpoints - the progression channel and the within-homeostatic mean position, both designed to be insensitive to compartment size - are both non-significant (BH-adjusted FDR   and  ). So the honest reading is that there is no statistically supported signal that mutant tau advances microglia further along the activation axis; what the interaction does, it does by enlarging the DAM compartment. That is the trajectory-level counterpart of P1's significant DAM-fraction interaction: the same synergy, now resolved as compositional. The full inference across every endpoint, including the bounded fraction-past-onset bridges, is tabulated below.
_trajectory.qmd	trajectory-011-caption-replicate-level-mean-pseudotime-tracks-the-dam-fraction-each	263	caption	The interaction is composition, not progression	42	caption	fig-trajectory-unit-pt-dam	fig-trajectory-unit-pt-dam	Replicate-level mean pseudotime tracks the DAM fraction. Each point is one genotype-by-batch unit; batch labels show that the high-position units are also high-DAM units. This is why the decomposition is load-bearing: a position interaction can be created by changing compartment size.
_trajectory.qmd	trajectory-012-caption-channel-audit-for-the-trajectory-inference-left-prepared	278	caption	The interaction is composition, not progression	44	caption	fig-trajectory-kitagawa-forest	fig-trajectory-kitagawa-forest	Channel audit for the trajectory inference. Left: prepared overall and within-state rows across the five contrasts; amyloid moves mean position, but the interaction's within-state rows do not clear zero. Right: the explicit interaction decomposition rows; composition is positive, progression is negative and not supported.
_trajectory.qmd	trajectory-013-h2-a-per-cell-model-corroborates-the-position-shift	300	h2	A per-cell model corroborates the position shift	7	keep	section-nav		A per-cell model corroborates the position shift
_trajectory.qmd	trajectory-014-paragraph-the-summary-level-test-aggregates-each-of-the-genotype-by	302	paragraph	A per-cell model corroborates the position shift	110	figure	fig-trajectory-logic-board		The summary-level test aggregates each of the   genotype-by-batch units to one number, which is the right scale for the interaction inference but discards the per-cell distribution. As a supportive cross-check, a per-cell beta generalised linear mixed model (pt01 ~ tau * amyloid + batch + (1 | unit),   on-lineage nuclei over   replicate units)  . This agrees that the interaction raises position. But it models per-cell position directly, so it is the per-cell analogue of mean pseudotime and is itself composition-conflated: it supports that position rises, not that progression does. It is reported as supportive only - the summary-level decomposition carries the composition-versus-progression inference, and there both concordance and discordance with this arm would be acceptable.
_trajectory.qmd	trajectory-015-h2-reconciliation-robustness-and-concordance	313	h2	Reconciliation, robustness and concordance	4	keep	section-nav		Reconciliation, robustness and concordance
_trajectory.qmd	trajectory-016-paragraph-this-re-baselines-a-v1-result-rather-than-reproducing	315	paragraph	Reconciliation, robustness and concordance	134	figure	fig-trajectory-concordance;fig-trajectory-audit		"This re-baselines a v1 result rather than reproducing it. v1's point estimate had loaded the same interaction mostly onto progression (about   of the effect) at a suggestive significance (FDR about  ); on R   the decomposition attributes it mainly to composition instead, and neither the progression nor the within-state channel clears significance. The qualitative headline - a real, modest tau-amyloid synergy carried by the DAM compartment - is unchanged; its mechanistic reading shifts from ""further-progressed cells"" toward ""more cells"". The ordering itself is stable and marker-concordant: refitting on 10 and 20 harmony dimensions and on all retained nuclei reproduces the primary pseudotime at Spearman   or better, and the slingshot ordering agrees with the marker score-axis at Spearman   (a moderate-to-large concordance, expected below one because the transcriptome geometry and the DAM-minus-homeostatic marker contrast are related, not identical)."
_trajectory.qmd	trajectory-017-caption-the-slingshot-pseudotime-and-the-assumption-light-marker-score-axis	332	caption	Reconciliation, robustness and concordance	47	caption	fig-trajectory-concordance	fig-trajectory-concordance	The slingshot pseudotime and the assumption-light marker score-axis (DAM minus homeostatic UCell) order the on-lineage nuclei concordantly; the binned density runs along the diagonal. This shares the marker system that defines the substates, so it guards against gross ordering failure rather than acting as an independent check.
_trajectory.qmd	trajectory-018-caption-trajectory-robustness-and-lineage-conditioning-audit-left-refits-using	344	caption	Reconciliation, robustness and concordance	46	caption	fig-trajectory-audit	fig-trajectory-audit	Trajectory robustness and lineage-conditioning audit. Left: refits using fewer or more harmony dimensions, and all retained nuclei, remain strongly concordant with the primary pseudotime. Right: the off-lineage omitted fraction is low within every genotype, so conditioning on the homeostatic-to-DAM lineage does not drive the interaction.
_trajectory.qmd	trajectory-019-h2-caveats-and-provenance	362	h2	Caveats and provenance	3	keep	section-nav		Caveats and provenance
